"PRIMARY TITLE","MLC SONG CODE","MEMBERS SONG ID","ISWC","AKA TITLE","AKA TITLE TYPE CODE","WRITER LAST NAME","WRITER FIRST NAME","WRITER IPI NUMBER","WRITER ROLE CODE","MLC PUBLISHER NUMBER","PUBLISHER NAME","PUBLISHER IPI NUMBER","ADMINISTRATOR MLC PUBLISHER NUMBER","ADMINISTRATOR NAME","COLLECTION SHARE","RECORDING TITLE","RECORDING ARTIST NAME","RECORDING ISRC","RECORDING LABEL"
"Out Of Service","","DSR-LAB-102","","","","Moses","Ian","","CA","","LAB10 Publishing","1262829440","","","100","Out Of Service","Autokorekt, ChemDawg, Versace","GBWUL2192863","DirtySnatcha Records"
"Out Of Service","","DSR-LAB-102","","","","McCarthy","Joshua Versace","","CA","","LAB10 Publishing","1262829440","","","100","Out Of Service","Autokorekt, ChemDawg, Versace","GBWUL2192863","DirtySnatcha Records"
"Game Time","","DSR-LAB-103","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Game Time","Autokorekt, Eazley, Rico Act","GBWUL2023530","DirtySnatcha Records"
"Game Time","","DSR-LAB-103","","","","Rico","Alfred Mcgrew","","CA","","LAB10 Publishing","1262829440","","","100","Game Time","Autokorekt, Eazley, Rico Act","GBWUL2023530","DirtySnatcha Records"
"Game Time","","DSR-LAB-103","","","","Koivu","Terrel","","CA","","LAB10 Publishing","1262829440","","","100","Game Time","Autokorekt, Eazley, Rico Act","GBWUL2023530","DirtySnatcha Records"
"Eight Six","","DSR-LAB-104","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Eight Six","BBX","QZTV32366095","DirtySnatcha Records"
"Black & Gold","","DSR-LAB-105","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Black & Gold","BBX","QZTV32366677","DirtySnatcha Records"
"Shook","","DSR-LAB-106","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Shook","BBX","QZTV32366682","DirtySnatcha Records"
"Crushed Glass","","DSR-LAB-107","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","Crushed Glass","BBX","QZTV32366684","DirtySnatcha Records"
"WESTCOAST","","DSR-LAB-108","","","","Reid","Jordan J.","","CA","","LAB10 Publishing","1262829440","","","100","WESTCOAST","BBX, Geeku","QZ5FN2235968","DirtySnatcha Records"
"WESTCOAST","","DSR-LAB-108","","","","Richardson","Nakeem","","CA","","LAB10 Publishing","1262829440","","","100","WESTCOAST","BBX, Geeku","QZ5FN2235968","DirtySnatcha Records"
"SASORI","","DSR-LAB-109","","","","Reid","Jordan J.","","CA","","LAB10 Publishing","1262829440","","","100","SASORI","BBX, Geeku","GBRKQ2245736","DirtySnatcha Records"
"SASORI","","DSR-LAB-109","","","","Richardson","Nakeem","","CA","","LAB10 Publishing","1262829440","","","100","SASORI","BBX, Geeku","GBRKQ2245736","DirtySnatcha Records"
"LIGMA","","DSR-LAB-110","","","","Reid","Jordan J.","","CA","","LAB10 Publishing","1262829440","","","100","LIGMA","BBX, Jonomatic, Geeku","GBWUL2171015","DirtySnatcha Records"
"LIGMA","","DSR-LAB-110","","","","Ely","Jonathan","","CA","","LAB10 Publishing","1262829440","","","100","LIGMA","BBX, Jonomatic, Geeku","GBWUL2171015","DirtySnatcha Records"
"LIGMA","","DSR-LAB-110","","","","Richardson","Nakeem","","CA","","LAB10 Publishing","1262829440","","","100","LIGMA","BBX, Jonomatic, Geeku","GBWUL2171015","DirtySnatcha Records"
"FTI","","DSR-LAB-111","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","FTI","BBX, Meechie Murda, Geeku","GBWUL2349330","DirtySnatcha Records"
"FTI","","DSR-LAB-111","","","","Luster","Demetrius","","CA","","LAB10 Publishing","1262829440","","","100","FTI","BBX, Meechie Murda, Geeku","GBWUL2349330","DirtySnatcha Records"
"FTI","","DSR-LAB-111","","","","Richardson","Nakeem","","CA","","LAB10 Publishing","1262829440","","","100","FTI","BBX, Meechie Murda, Geeku","GBWUL2349330","DirtySnatcha Records"
"WTF","","DSR-LAB-112","","","","Reid","Jordan","","CA","","LAB10 Publishing","1262829440","","","100","WTF","BBX, Sloth","GBRKQ2471312","DirtySnatcha Records"
"WTF","","DSR-LAB-112","","","","Baichoo","Brandon","","CA","","LAB10 Publishing","1262829440","","","100","WTF","BBX, Sloth","GBRKQ2471312","DirtySnatcha Records"
"Outta Here","","DSR-LAB-113","","","","Benzel","Cameron","","CA","","LAB10 Publishing","1262829440","","","100","Outta Here","BENZO$, Rico Act","QZ5FN2040117","DirtySnatcha Records"
"Outta Here","","DSR-LAB-113","","","","Koivu","Terrel","","CA","","LAB10 Publishing","1262829440","","","100","Outta Here","BENZO$, Rico Act","QZ5FN2040117","DirtySnatcha Records"
"Arachnophobia","","DSR-LAB-114","","","","Engelhardt","Nicholas","","CA","","LAB10 Publishing","1262829440","","","100","Arachnophobia","Blue","GBWUL1910254","DirtySnatcha Records"
"Arachnophobia","","DSR-LAB-114","","","","Fouladgar","Shahram","","CA","","LAB10 Publishing","1262829440","","","100","Arachnophobia","Blue","GBWUL1910254","DirtySnatcha Records"
"Clean Slate","","DSR-LAB-115","","","","Harris","Christopher M.","","CA","","LAB10 Publishing","1262829440","","","100","Clean Slate","Blue, JHornz","USLZJ2430079","DirtySnatcha Records"
"Clean Slate","","DSR-LAB-115","","","","Hornis","Writer Justin","","CA","","LAB10 Publishing","1262829440","","","100","Clean Slate","Blue, JHornz","USLZJ2430079","DirtySnatcha Records"
"Radiance","","DSR-LAB-116","","","","Rice","Alfred","","CA","","LAB10 Publishing","1262829440","","","100","Radiance","BOU$HY","GBWUL2118332","DirtySnatcha Records"
"Big Body","","DSR-LAB-117","","","","Bouchard","Max","","CA","","LAB10 Publishing","1262829440","","","100","Big Body","BOU$HY, Eazley","QZ5FN2216262","DirtySnatcha Records"
