"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",PER,Streaming,Single,Sale,1,0.000804000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious","YouTube Streaming","August 2024",NZL,Streaming,"Art Track",Sale,1,0.000814000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",GTM,Streaming,Single,Sale,1,0.000815000000
AUG-24,"DirtySnatcha Records","Keep Moving","Audigy Remix",DirtySnatcha,197999143198,DSR0104,"Keep Moving","Audigy Remix",QZWV32320452,"DirtySnatcha, Audigy",Spotify,"August 2024",TWN,Streaming,Single,Sale,1,0.000816000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",TWN,Streaming,Single,Sale,1,0.000816000000
AUG-24,"DirtySnatcha Records",Scorpion,,Torcha,198342501160,DSR0057A,Scorpion,,GBRKQ2202745,Torcha,Spotify,"August 2024",TWN,Streaming,Single,Sale,1,0.000816000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","YouTube Content ID","August 2024",AUS,UGC,"Sound Recording",Sale,7,0.000820000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",IDN,Streaming,Single,Sale,2,0.000821000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",SAU,Streaming,Single,Sale,1,0.000825000000
AUG-24,"DirtySnatcha Records","Acting Out",,"Megahurtz, Blue",198342479070,DSR0029A,"Acting Out",,USLZJ2069505,"Megahurtz, Blue, Rico Act",Spotify,"August 2024",SAU,Streaming,Single,Sale,1,0.000825000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious","Facebook / Instagram - Revenue Share","July 2024",USA,Streaming,"Audio Library: Consumption",Sale,58,0.000830000000
AUG-24,"DirtySnatcha Records",Hypnotize,,"In Orbit Dubz",197999477019,DSR113,Hypnotize,,QZZ8B2327916,"In Orbit Dubz",Spotify,"August 2024",PHL,Streaming,Single,Sale,1,0.000830000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth",Spotify,"August 2024",IDN,Streaming,Single,Sale,1,0.000831000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth",Spotify,"August 2024",VEN,Streaming,Single,Sale,1,0.000836000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth",Spotify,"August 2024",VEN,Streaming,Single,Sale,2,0.000836000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",VEN,Streaming,Single,Sale,2,0.000836000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",VEN,Streaming,Single,Sale,1,0.000836000000
AUG-24,"DirtySnatcha Records","Run It Up",,"CHRMNDRS, Future Exit",198342476673,DSR0010A,"Run It Up",,GBWUL2081365,"CHRMNDRS, Future Exit",Spotify,"August 2024",GTM,Streaming,Single,Sale,1,0.000838000000
AUG-24,"DirtySnatcha Records","Keep Moving","Audigy Remix",DirtySnatcha,197999143198,DSR0104,"Keep Moving","Audigy Remix",QZWV32320452,"DirtySnatcha, Audigy",Spotify,"August 2024",PHL,Streaming,Single,Sale,2,0.000846000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Trust,,USLZJ2405591,CRiiOZ,Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Apparition,,CVLVALRI,198342507926,DSR0063A,Apparition,,GBRKQ2204805,CVLVALRI,Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Hypnotize,,"In Orbit Dubz",197999477019,DSR113,Hypnotize,,QZZ8B2327916,"In Orbit Dubz",Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Radioactivity,,"In Orbit Dubz",198342500118,DSR0053A,Radioactivity,,USLZJ2286474,"In Orbit Dubz",Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records","Giving Up VIP",,"CHRMNDRS, SEEING\\DOUBLE",198342492154,DSR0044A,"Giving Up VIP",,GBWUL2158623,"CHRMNDRS, SEEING\\DOUBLE",Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records",Scorpion,,Torcha,198342501160,DSR0057A,Scorpion,,GBRKQ2202745,Torcha,Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,DSR0101A,"Spectre Season",,QZWDD2336449,Artifact,Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records","Loose It","BOU$HY Remix","Eazley, Autokorekt",198342491560,DSR0039A,"Loose It","BOU$HY Remix",GBRKQ2109631,"Eazley, Autokorekt, BOU$HY",Spotify,"August 2024",ZAF,Streaming,Single,Sale,1,0.000853000000
AUG-24,"DirtySnatcha Records","Eight Six",,BBX,198342480014,DSR0092A,"Eight Six",,QZTV32366095,BBX,"YouTube Streaming","August 2024",CHL,Streaming,"Art Track",Sale,1,0.000857000000
AUG-24,"DirtySnatcha Records",Hypnotize,,"In Orbit Dubz",197999477019,DSR113,Hypnotize,,QZZ8B2327916,"In Orbit Dubz",Spotify,"August 2024",MEX,Streaming,Single,Sale,1,0.000862000000
AUG-24,"DirtySnatcha Records","Back Rooms",,"In Orbit Dubz",198342498644,DSR0077A,"Back Rooms",,QZWDD2257316,"In Orbit Dubz",Spotify,"August 2024",MEX,Streaming,Single,Sale,1,0.000862000000
