PRIMARY TITLE *,MLC SONG CODE,MEMBERS SONG ID,ISWC          ,AKA TITLE †,AKA TITLE TYPE CODE †,WRITER LAST NAME *,WRITER FIRST NAME ,WRITER IPI NUMBER,WRITER ROLE CODE *,MLC PUBLISHER NUMBER,PUBLISHER NAME *,PUBLISHER IPI NUMBER *,ADMINISTRATOR MLC PUBLISHER NUMBER,ADMINISTRATOR NAME †,COLLECTION SHARE *,RECORDING TITLE †,RECORDING ARTIST NAME †,RECORDING ISRC,RECORDING LABEL
Spacecraft,,DSR-078,T3245483896,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Spacecraft,DirtySnatcha,GBRKQ2382127,DirtySnatcha
Spaceship,,DSR-044,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Spaceship,DirtySnatcha,QZHCR2100041,Subsidia
Step Aside,,DSR-079,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Step Aside,DirtySnatcha,USLZJ1922798,DirtySnatcha
Still That,,DSR-045,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Still That,DirtySnatcha,QM42K1793718,DirtySnatcha
Style,,DSR-080,T3090728993,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Style,DirtySnatcha,,DirtySnatcha
SuperSonic VIP,,DSR-046,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,SuperSonic VIP,DirtySnatcha,,DirtySnatcha
Swerve,,DSR-047,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Swerve,DirtySnatcha,QM42K1607924,DirtySnatcha
Take Me Up,,DSR-048,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Take Me Up,DirtySnatcha,USLZJ2122517,DirtySnatcha
Take You Higher,,DSR-049,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Take You Higher,DirtySnatcha,QZ5FN2063441,DSV Audio
Tear Up,,DSR-050,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Tear Up,DirtySnatcha,QM42K1908356,DirtySnatcha
The Journey,,DSR-051,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,The Journey,DirtySnatcha,,DirtySnatcha
Thin Air,,DSR-052,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,33.34,Thin Air,DirtySnatcha,QM42K1856648,DirtySnatcha Promotions
Tonight,,DSR-053,T3245484071,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Tonight,DirtySnatcha,GBRKQ2121249,DirtySnatcha
Vibrate,,DSR-081,T3303255763,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Vibrate,DirtySnatcha,,DirtySnatcha
Voices,,DSR-082,T3303169560,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Voices,DirtySnatcha,,DirtySnatcha
Westside Rollin,,DSR-054,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Westside Rollin,DirtySnatcha,USLZJ1922760,DirtySnatcha
